name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
v1^14v2^1[13-0],B,v1^14v2^1[13-0],47,28,30,13,v1^14v2^1[14-0],,,,,,
v1^17[13-0],T,v1^16[14-0],47,29,30,13,v1^17[14-0],,v1^17v2^1[14-0]+v1^20[14-0],,,,
v1^13v2^1[15-0],T,v1^12v2^1[16-0],47,28,31,15,v1^13v2^1[16-0]+v1^16[16-0],,,,,,
v1^16[15-0],B,v1^16[15-0],47,31,31,15,v1^16[16-0],,v1^16v2^1[16-0],,,,
v1^12v2^1[17-0],B,v1^12v2^1[17-0],47,30,32,17,v1^12v2^1[18-0],,,,,,
v1^15[17-0],T,v1^14[18-0],47,31,32,17,v1^15[18-0],,v1^15v2^1[18-0]+v1^18[18-0],,,,
v1^11v2^1[19-0],T,v1^10v2^1[20-0],47,30,33,19,v1^11v2^1[20-0]+v1^14[20-0],,,,,,
v1^14[19-0],B,v1^14[19-0],47,33,33,19,v1^14[20-0],,v1^14v2^1[20-0],,,,
v1^10v2^1[21-0],B,v1^10v2^1[21-0],47,32,34,21,v1^10v2^1[22-0],,,,,,
v1^13[21-0],T,v1^12[22-0],47,33,34,21,v1^13[22-0],,v1^13v2^1[22-0]+v1^16[22-0],,,,
v1^9v2^1[23-0],T,v1^8v2^1[24-0],47,32,35,23,v1^9v2^1[24-0]+v1^12[24-0],,,,,,
v1^12[23-0],B,v1^12[23-0],47,35,35,23,v1^12[24-0],,v1^12v2^1[24-0],,,,
v1^8v2^1[25-0],B,v1^8v2^1[25-0],47,34,36,25,v1^8v2^1[26-0],,,,,,
v1^11[25-0],T,v1^10[26-0],47,35,36,25,v1^11[26-0],,v1^11v2^1[26-0]+v1^14[26-0],,,,
v1^7v2^1[27-0],T,v1^6v2^1[28-0],47,34,37,27,v1^7v2^1[28-0]+v1^10[28-0],,,,,,
v1^10[27-0],B,v1^10[27-0],47,37,37,27,v1^10[28-0],,v1^10v2^1[28-0],,,,
v1^6v2^1[29-0],B,v1^6v2^1[29-0],47,36,38,29,v1^6v2^1[30-0],,,,,,
v1^9[29-0],T,v1^8[30-0],47,37,38,29,v1^9[30-0],,v1^9v2^1[30-0]+v1^12[30-0],,,,
v1^5v2^1[31-0],T,v1^4v2^1[32-0],47,36,39,31,v1^5v2^1[32-0]+v1^8[32-0],,,,,,
v1^8[31-0],B,v1^8[31-0],47,39,39,31,v1^8[32-0],,v1^8v2^1[32-0],,,,
v1^4v2^1[33-0],B,v1^4v2^1[33-0],47,38,40,33,v1^4v2^1[34-0],,,,,,
v1^7[33-0],T,v1^6[34-0],47,39,40,33,v1^7[34-0],,v1^7v2^1[34-0]+v1^10[34-0],,,,
v1^3v2^1[35-0],T,v1^2v2^1[36-0],47,38,41,35,v1^3v2^1[36-0]+v1^6[36-0],,,,,,
v1^6[35-0],B,v1^6[35-0],47,41,41,35,v1^6[36-0],,v1^6v2^1[36-0],,,,
v1^2v2^1[37-0],B,v1^2v2^1[37-0],47,40,42,37,,,,,,,
v1^5[37-0],T,v1^4[38-0],47,41,42,37,,,,,,,
v1^5v2^1[2-7],T,v1^4v2^1[3-6],48,7,25,2,v1^5v2^1[3-6]+v1^23[3-0],,,,,,
v1^20v2^1[2-0],B,v1^20v2^1[2-0],48,23,25,2,v1^20v2^1[3-0],,,,,,
v1^23[2-0],T,v1^22[3-0],48,24,25,2,v1^23[3-0],,v1^23v2^1[3-0],,,,
[4-9],T,[5-9],48,4,26,4,v1^19v2^1[5-0]+v1^22[5-0],,v1^22v2^1[5-0],,,,[5-31]+v1^53[5-0]+v1^50v2^1[5-0]
v1^1v2^1[4-6],T,v2^2[5-4],48,6,26,4,,,,,,,v1^1v2^1[5-28]+v1^53[5-0]+v1^4v2^11v3^1[5-1]+v1^50v2^1[5-0]
v2^2v3^1[4-2],B,v2^2v3^1[4-2],48,7,26,4,v1^22[5-0],v2^3[5-3],v1^22v2^1[5-0],,,v2^5v3^1[5-4]+v1^3v2^4v3^1[5-4]+v1^34v2^1[5-0],v2^2v3^1[5-20]
v1^1v2^2[4-4],B,v1^1v2^2[4-4],48,7,26,4,v1^22[5-0],,v1^22v2^1[5-0],,,,
v1^4v2^1[4-4],B,v1^4v2^1[4-4],48,9,26,4,v1^22[5-0],,v1^22v2^1[5-0],,,,
v1^19v2^1[4-0],T,v1^18v2^1[5-0],48,23,26,4,v1^19v2^1[5-0]+v1^22[5-0],,v1^22v2^1[5-0],,,,
v1^22[4-0],B,v1^22[4-0],48,26,26,4,v1^22[5-0],,v1^22v2^1[5-0],,,,
v1^18v2^1[6-0],B,v1^18v2^1[6-0],48,25,27,6,v1^18v2^1[7-0],,,,,,
v1^21[6-0],T,v1^20[7-0],48,26,27,6,v1^21[7-0],,v1^21v2^1[7-0],,,,
v1^17v2^1[8-0],T,v1^16v2^1[9-0],48,25,28,8,v1^17v2^1[9-0]+v1^20[9-0],,v1^20v2^1[9-0],,,,
v1^20[8-0],B,v1^20[8-0],48,28,28,8,v1^20[9-0],,v1^20v2^1[9-0],,,,
[10-2],B,[10-2],48,10,29,10,[11-1]+v1^16v2^1[11-0],,,v2^1[11-1],,,v1^7v2^2v3^2[11-2]
v1^16v2^1[10-0],B,v1^16v2^1[10-0],48,27,29,10,v1^16v2^1[11-0],,,,,,
v1^19[10-0],T,v1^18[11-0],48,28,29,10,v1^19[11-0],,v1^19v2^1[11-0],,,,
v1^15v2^1[12-0],T,v1^14v2^1[13-0],48,27,30,12,v1^15v2^1[13-0]+v1^18[13-0],,v1^18v2^1[13-0],,,,
v1^18[12-0],B,v1^18[12-0],48,30,30,12,v1^18[13-0],,v1^18v2^1[13-0],,,,
v1^14v2^1[14-0],B,v1^14v2^1[14-0],48,29,31,14,v1^14v2^1[15-0],,,,,,
v1^17[14-0],T,v1^16[15-0],48,30,31,14,v1^17[15-0],,v1^17v2^1[15-0],,,,
