ANSS-cofiber-2-machine,algNovikov-machine
"v2^4v4^1[7-1]	","	v1^1v3^3[7-3]+v2^8v3^2[7-0]"
"v2^4v4^1[9-4]	","	v2^4v4^1[9-4]"
"v2^5[10-2]	","	v2^2v3^4[10-0]"
"v2^5[11-1]	","	v2^2v3^4[11-0]"
"v2^5[11-7]	","	v1^1v3^2v4^1[11-1]+v1^18v2^8v3^1[11-0]"
"v2^5[14-2]	","	v1^4v3^1[14-4]"
"v2^5[15-1]	","	v1^4v3^1[15-2]"
"v2^5[2-0]	","	v1^2v2^1v3^1[2-2]"
"v2^5[3-0]	","	v1^2v2^1v3^1[3-1]"
"v2^5[3-13]	","	v1^2v2^1v3^1[3-15]"
"v2^5[4-12]	","	v1^2v2^1v3^1[4-15]+v1^12v2^1[4-12]+v1^30v2^3v3^1[4-0]"
"v2^5[4-6]	","	v1^2v2^3v3^1[4-4]+v1^30v2^1[4-0]"
"v2^5[5-17]	","	v2^1v3^7[5-0]"
"v2^5[6-10]	","	v1^1v2^1v4^2[6-2]"
"v2^5[6-18]	","	v1^1v3^1v4^2[6-6]+v1^1v2^3v3^2v4^1[6-5]+v1^3v3^5[6-6]"
"v2^5[6-2]	","	v1^4v3^1[6-4]"
"v2^5[7-1]	","	v1^4v3^1[7-2]+v1^26[7-0]"
"v2^5[7-6]	","	v1^1v3^2v4^1[7-1]+v1^10[7-9]"
"v2^5[7-8]	","	v0^2v4^3[7-0]+v1^1v2^5[7-7]+v1^28v2^1v3^2[7-0]"
"v2^5[8-4]	","	v1^2v3^2[8-3]+v1^28v2^1v3^1[8-0]"
"v2^5v3^1[10-6]	","	v2^5v3^1[10-6]+v1^4v2^1v3^3[10-2]"
"v2^5v3^1[10-7]	","	v1^1v3^3[10-7]+v2^5v3^1[10-7]"
"v2^5v3^1[11-3]	","	v1^1v3^3[11-3]"
"v2^5v3^1[3-15]	","	v2^5v3^1[3-15]"
"v2^5v3^1[3-3]	","	v1^1v3^3[3-3]"
"v2^5v3^1[5-4]	","	v2^5v3^1[5-4]"
"v2^5v3^1[6-6]	","	v2^5v3^1[6-6]"
"v2^5v3^1[6-7]	","	v2^5v3^1[6-7]"
"v2^5v3^1[9-7]	","	v2^5v3^1[9-7]"
"v2^5v3^2[8-2]	","	v0^1v3^2v4^1[8-2]+v2^8[8-3]+v1^26v2^2v3^2[8-0]"
"v2^5v3^2v4^1[3-1]	","	v0^1v3^4[3-9]"
"v2^5v4^1[5-9]	","	v0^2[5-29]+v2^3v3^4[5-3]+v1^24v2^9[5-0]"
"v2^5v4^1[7-1]	","	v2^2v3^5[7-0]+v0^1v2^2v3^5[7-0]"
"v2^6[2-0]	","	v0^3[2-9]"
"v2^6[3-0]	","	v2^6[3-0]"
"v2^6[3-13]	","	v0^1v1^2v3^2[3-14]+v1^28v2^7[3-0]"
"v2^6[4-12]	","	v2^6[4-12]"
"v2^6[5-17]	","	v1^2v2^1v3^5[5-4]+v2^2v3^7[5-0]+v1^22v2^11[5-0]+v1^24v2^8v3^1[5-0]"
"v2^6[6-10]	","	v0^2v2^1v3^1v4^1[6-8]+v1^28v2^2v3^2[6-0]"
"v2^6[6-12]	","	v0^2v1^2v2^1v3^2[6-11]+v1^2v2^8v3^2[6-1]"
"v2^6[7-8]	","	v1^4v2^2v3^1[7-9]"
"v2^6[8-4]	","	v2^2v3^5[8-0]+v2^9v3^2[8-0]"
"v2^6v3^2[10-1]	","	v1^1v3^3[10-7]"
"v2^6v3^2[4-2]	","	v2^6v3^2[4-2]"
"v2^6v3^2[5-4]	","	v2^7v4^1[5-2]"
"v2^6v3^2[8-2]	","	v2^6v3^2[8-2]"
"v2^6v3^4[5-1]	","	v1^2v2^1v3^5[5-4]+v1^2v2^8v4^1[5-3]+v1^24v2^8v3^1[5-0]"
"v2^6v4^1[3-3]	","	v2^6v4^1[3-3]+v0^1v1^2v2^5v3^3[3-1]+v1^32v2^3[3-0]"
"v2^6v4^1[6-7]	","	v2^5v3^3[6-6]"
"v2^6v4^1[7-3]	","	v2^6v4^1[7-3]+v1^24v2^6v3^1[7-0]+v1^26v2^3v3^2[7-0]"
"v2^7[4-6]	","	v2^2[4-14]+v1^1v2^5v3^2[4-2]"
"v2^7[6-10]	","	v1^4v2^3v3^1[6-11]+v2^9v3^1[6-6]"
"v2^7[6-12]	","	v2^4v4^2[6-2]+v2^5v3^3[6-6]"
"v2^7v3^2[4-8]	","	v2^6v3^4[4-2]"
"v2^7v3^2[8-2]	","	v1^2v3^4[8-3]+v1^5v2^5v4^1[8-2]"
"v2^7v3^3[3-0]	","	v1^1v2^4v3^3[3-3]"
"v2^7v4^1[7-1]	","	v4^2[7-4]"
"v2^8[10-1]	","	v2^8[10-1]"
"v2^8[10-2]	","	v1^2v2^5v3^1[10-2]"
"v2^8[11-1]	","	v1^2v2^5v3^1[11-1]"
"v2^8[2-1]	","	v0^2v1^2v2^3[2-7]"
"v2^8[4-3]	","	v2^8[4-3]"
"v2^8[5-1]	","	v2^8[5-1]+v1^30v2^1[5-0]"
"v2^8[6-1]	","	v2^8[6-1]"
"v2^8[6-10]	","	v1^2v3^6[6-1]+v1^6v2^5v3^1v4^1[6-2]"
"v2^8[6-2]	","	v1^2v2^5v3^1[6-2]"
"v2^8[7-1]	","	v1^2v2^5v3^1[7-1]"
"v2^8[7-5]	","	v2^8[7-5]+v1^2v2^9v3^1[7-1]"
"v2^8[8-3]	","	v2^8[8-3]+v1^26v2^2v3^2[8-0]"
"v2^8[9-1]	","	v2^8[9-1]"
"v2^8v3^1[6-6]	","	v0^1v2^5v3^1v4^1[6-2]"
"v2^8v3^2[2-1]	","	v1^6v2^1[2-11]"
"v2^8v3^2[6-1]	","	v2^8v3^2[6-1]+v1^26v2^5v3^1[6-0]"
"v2^8v3^3[3-0]	","	v0^3v2^4[3-14]+v0^1v1^8v2^2[3-13]+v1^14[3-13]"
"v2^8v4^1[5-4]	","	v2^8v4^1[5-4]"
"v2^9[10-2]	","	v1^8v3^1[10-10]"
"v2^9[11-1]	","	v1^8v3^1[11-6]"
"v2^9[2-0]	","	v1^2v2^5v3^1[2-2]"
"v2^9[3-0]	","	v1^2v2^5v3^1[3-1]+v1^24v2^1[3-0]"
"v2^9[6-2]	","	v2^8v3^2[6-0]"
"v2^9[7-1]	","	v2^8v3^2[7-0]"
"v2^9v3^1[5-7]	","	v2^9v3^1[5-7]"
"v2^9v3^1[6-6]	","	v2^9v3^1[6-6]"
"v2^9v3^1[7-3]	","	v1^2v2^5v3^1v4^1[7-1]+v1^12v3^1[7-9]"
"v2^9v3^2[4-2]	","	v0^1v2^2v3^5[4-2]+v2^12[4-3]+v1^26v2^8[4-0]"
"v3^1[4-10]	","	v3^1[4-10]+v1^2v3^2[4-3]+v1^30[4-0]"
"v3^1[5-15]	","	v3^1[5-15]"
"v3^1[6-9]	","	v3^1[6-9]"
"v3^2[10-1]	","	v3^2[10-1]"
"v3^2[11-2]	","	v3^1v4^2[11-0]+v1^6[11-6]+v1^24v2^2v3^1[11-0]"
"v3^2[12-5]	","	v3^2[12-5]"
"v3^2[13-2]	","	v3^2[13-2]"
"v3^2[14-1]	","	v3^2[14-1]"
"v3^2[4-6]	","	v0^1[4-13]+v0^1v3^2[4-6]+v1^5v2^1v4^1[4-2]+v0^5v2^4[4-8]+v1^32[4-0]"
"v3^2[5-2]	","	v3^2[5-2]+v1^22v2^1[5-0]"
"v3^2[5-20]	","	v3^2[5-20]"
"v3^2[5-6]	","	v3^2[5-6]+v1^2v4^1[5-3]+v1^28v2^1[5-0]"
"v3^2[5-9]	","	v0^1[5-16]+v0^2v1^1v2^2v3^1[5-9]"
"v3^2[6-1]	","	v3^2[6-1]"
"v3^2[7-10]	","	v3^2[7-10]"
"v3^2[7-12]	","	v1^1[7-23]+v1^24v2^6v3^1[7-0]+v1^26v2^3v3^2[7-0]"
"v3^2[7-7]	","	v3^2[7-7]"
"v3^2[8-10]	","	v3^2[8-10]"
"v3^2[8-13]	","	v3^2[8-13]"
"v3^2[8-15]	","	v3^2[8-15]+v1^5v2^7[8-5]"
"v3^2[8-5]	","	v3^2[8-5]+v1^8[8-11]"
"v3^2[8-7]	","	v3^2[8-7]+v0^1v2^6v3^1[8-2]"
"v3^2[9-2]	","	v3^2[9-2]"
"v3^2v4^1[10-3]	","	v3^2v4^1[10-3]+v1^2v4^2[10-2]"
"v3^2v4^1[6-3]	","	v3^2v4^1[6-3]+v1^2v2^1v3^3[6-6]"
"v3^2v4^1[7-4]	","	v3^2v4^1[7-4]"
"v3^3[10-4]	","	v2^2v3^1[10-10]+v2^4v3^2[10-1]+v1^26v2^1v4^1[10-0]"
"v3^3[5-4]	","	v2^1v4^1[5-7]+v1^4v2^1v3^2[5-4]"
"v3^3[9-4]	","	v2^2v4^1[9-4]"
"v3^4[2-3]	","	v0^2[2-13]"
"v3^4[4-6]	","	v3^4[4-6]+v2^10v3^1[4-2]+v1^12v2^1[4-12]"
"v3^4[5-1]	","	v1^1v2^1[5-15]+v2^5v3^1[5-4]"
"v3^4[5-9]	","	v3^4[5-9]"
"v3^4[7-3]	","	v3^4[7-3]"
"v3^4[9-1]	","	v3^4[9-1]"
"v3^4[9-2]	","	v2^2v4^1[9-7]+v1^3v2^2v3^3[9-1]+v1^24v2^3v3^2[9-0]"
"v3^6[3-3]	","	v3^6[3-3]"
"v3^6[5-1]	","	v0^1[5-29]+v0^2[5-29]+v1^3v2^6v3^3[5-1]+v1^24v2^9[5-0]"
"v4^1[10-5]	","	v4^1[10-5]"
"v4^1[11-4]	","	v4^1[11-4]"
"v4^1[12-2]	","	v4^1[12-2]"
"v4^1[13-4]	","	v4^1[13-4]"
"v4^1[14-5]	","	v4^1[14-5]"
"v4^1[15-1]	","	v4^1[15-1]+v1^4v3^1[15-2]"
"v4^1[5-20]	","	v4^1[5-20]+v1^22v2^11[5-0]"
"v4^1[5-4]	","	v4^1[5-4]"
"v4^1[6-5]	","	v4^1[6-5]+v1^28v2^1[6-0]"
"v4^1[7-1]	","	v4^1[7-1]+v1^4v3^1[7-2]"
"v4^1[7-4]	","	v4^1[7-4]"
"v4^1[8-2]	","	v4^1[8-2]"
"v4^1[9-13]	","	v4^1[9-13]+v1^3v2^2v3^3[9-1]+v1^22v2^6v3^1[9-0]+v1^24v2^3v3^2[9-0]"
"v4^1[9-14]	","	v4^1[9-14]+v1^5v2^2v3^3[9-1]"
"v4^1[9-15]	","	v4^1[9-15]"
"v4^1[9-4]	","	v4^1[9-4]+v1^2v2^1v3^1[9-7]"
"v4^1[9-9]	","	v4^1[9-9]+v2^2v4^1[9-4]"
"v4^2[4-6]	","	v0^1[4-24]"
"v4^2[5-8]	","	v4^2[5-8]+v1^2[5-27]"
"v4^2[5-9]	","	v4^2[5-9]+v0^2[5-29]+v0^1v2^2v3^2[5-14]+v1^3v2^6v3^3[5-1]+v1^24v2^9[5-0]"
"v4^2[6-5]	","	v4^2[6-5]+v1^2v2^1v3^3[6-7]+v2^12[6-1]"
"v4^2[6-8]	","	v4^2[6-8]+v2^4v4^2[6-2]+v2^5v3^3[6-6]+v1^6v2^5v3^3[6-2]"
"v4^3[5-2]	","	v4^3[5-2]+v1^2v2^5v3^3[5-7]"
"v5^1[8-2]	","	v5^1[8-2]+v1^2v2^8[8-3]"
