ANSS-cofiber-2-machine,algNovikov-machine
"v1^16[2-0]	","	v1^16[2-0]"
"v1^16[20-0]	","	v1^16[20-0]"
"v1^16[21-0]	","	v1^16[21-0]"
"v1^16[3-0]	","	v1^16[3-0]"
"v1^16[4-0]	","	v1^16[4-0]"
"v1^16[5-0]	","	v1^16[5-0]"
"v1^16[6-0]	","	v1^16[6-0]"
"v1^16[7-0]	","	v1^16[7-0]"
"v1^16[8-0]	","	v1^16[8-0]"
"v1^16[9-0]	","	v1^16[9-0]"
"v1^16v2^1[1-0]	","	v0^3v1^10v2^3[1-0]+v0^5v1^10v2^3[1-0]+v0^6v1^10v2^3[1-0]"
"v1^16v2^1[10-0]	","	v1^16v2^1[10-0]"
"v1^16v2^1[11-0]	","	v1^16v2^1[11-0]"
"v1^16v2^1[12-0]	","	v1^16v2^1[12-0]"
"v1^16v2^1[13-0]	","	v1^16v2^1[13-0]"
"v1^16v2^1[14-0]	","	v1^16v2^1[14-0]"
"v1^16v2^1[15-0]	","	v1^16v2^1[15-0]"
"v1^16v2^1[16-0]	","	v1^16v2^1[16-0]"
"v1^16v2^1[17-0]	","	v1^16v2^1[17-0]"
"v1^16v2^1[18-0]	","	v1^16v2^1[18-0]"
"v1^16v2^1[19-0]	","	v1^16v2^1[19-0]"
"v1^16v2^1[2-0]	","	v1^16v2^1[2-0]"
"v1^16v2^1[20-0]	","	v1^16v2^1[20-0]"
"v1^16v2^1[3-0]	","	v1^16v2^1[3-0]"
"v1^16v2^1[4-0]	","	v1^16v2^1[4-0]"
"v1^16v2^1[5-0]	","	v1^16v2^1[5-0]"
"v1^16v2^1[6-0]	","	v1^16v2^1[6-0]"
"v1^16v2^1[7-0]	","	v1^16v2^1[7-0]"
"v1^16v2^1[8-0]	","	v1^16v2^1[8-0]"
"v1^16v2^1[9-0]	","	v1^16v2^1[9-0]"
"v1^18[1-0]	","	v1^18[1-0]"
"v1^18[10-0]	","	v1^18[10-0]"
"v1^18[11-0]	","	v1^18[11-0]"
"v1^18[12-0]	","	v1^18[12-0]"
"v1^18[13-0]	","	v1^18[13-0]"
"v1^18[14-0]	","	v1^18[14-0]"
"v1^18[15-0]	","	v1^18[15-0]"
"v1^18[16-0]	","	v1^18[16-0]"
"v1^18[17-0]	","	v1^18[17-0]"
"v1^18[18-0]	","	v1^18[18-0]"
"v1^18[19-0]	","	v1^18[19-0]"
"v1^18[2-0]	","	v1^18[2-0]"
"v1^18[3-0]	","	v1^18[3-0]"
"v1^18[4-0]	","	v1^18[4-0]"
"v1^18[5-0]	","	v1^18[5-0]"
"v1^18[6-0]	","	v1^18[6-0]"
