name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
P^3 h0 d0^2 j,78,28,42,0,-1,,,,,,,2,P^4 h0^2 d0^2 e0
_t P^4 h0 d0^2 e0,78,28,40,1,1,,_t P^4 h0^2 d0^2 e0,h,P^5 D h1 d0,,_t P^3 h0^2 d0^4,,
_t P^4 h0^2 d0^2 e0,78,29,40,1,0,h,P^4 i^2,,,h,P^4 i j,,
P^4 i^2,78,30,40,0,0,,P^4 h0 i^2,,,,,,
P^4 h0 i^2,78,31,40,0,0,,P^4 h0^2 i^2,,,,,,
P^4 h0^2 i^2,78,32,40,0,0,,P^4 h0^3 i^2,,,,,,
P^4 h0^3 i^2,78,33,40,0,0,,P^4 h0^4 i^2,,,,,,
P^4 h0^4 i^2,78,34,40,0,0,,,,,,,,
P^7 c0 d0,78,35,41,0,0,,,,loc,,,,
P^8 d0,78,36,40,0,0,,P^8 h0 d0,,loc,,P^8 h0 e0,,
P^8 h0 d0,78,37,40,0,0,,P^8 h0^2 d0,,,,P^8 h0^2 e0,,
P^8 h0^2 d0,78,38,40,0,0,,,,,,,,
h1 h4 h6,79,3,41,0,0,,,,h1^2 h4 h6,,,,
x1,79,5,42,0,0,,h0 x1,,h1 x1,,h2 x1,,
h0 x1,79,6,42,0,0,,,,,,h0 h2 x1,,
"h2 x76,6",79,7,42,0,-1,,"h0 h2 x76,6",,,,h0^2 h4 Q3,,
h1^2 h6 d0,79,7,42,0,1,,,,h1^3 h6 d0,,,,
"h0 h2 x76,6",79,8,42,0,-1,,,,,,,,
P h6 c0,79,8,41,0,1,,,,P h1 h6 c0,,,,
h1^2 m1,79,9,44,0,-2,,,,,,,,
"h1^3 x76,6",79,9,43,0,0,,,,"h1^4 x76,6",,,,
_h1^2 d1 g2,79,9,43,1,2,,,,,,,,
"h1 x78,9",79,10,42,0,-1,,,,,,,,
_h1^7 h6 c0,79,10,43,1,1,,,,_h1^8 h6 c0,,,,
g j1,79,11,45,0,-3,,,,h1 g j1,,,,
D B6,79,11,42,0,-1,,,,D h1 B6,,,,
_P h1^7 h6,79,11,42,1,1,,,,_P h1^8 h6,,,,
_t e1 g^2,79,11,43,1,3,,,,,h,g C0,,
h1^8 h6 c0,79,12,45,0,0,,,,h1^9 h6 c0,,,,
D^2 n,79,13,41,0,-4,,,,,,D^2 h2 n,,
_t h2^2 d1 g^2,79,13,44,1,-2,,,,,,,,
